speaker,generated_file,original_file,similarity_score
01_M_native,003_hop back in the pound .wav,hop back in the pound .wav,0.175499
01_M_native,023_the boy found the shoe .wav,the boy found the shoe .wav,0.539911
01_M_native,039_a boy looking at the frog.wav,a boy looking at the frog.wav,0.407491
01_M_native,042_uhh he's looking at it.wav,uhh he's looking at it.wav,0.452420
01_M_native,043_he licks him 'cos he wanted to put the frog in   .wav,he licks him 'cos he wanted to put the frog in   .wav,0.595064
01_M_native,063_the frog is gone.wav,the frog is gone.wav,0.569023
01_M_native,064_the boy is mad.wav,the boy is mad.wav,0.755602
01_M_native,099_a dog fell out .wav,a dog fell out .wav,0.521217
02_M_nonNative,008_and over here when the girl woke up .wav,and over here when the girl woke up .wav,0.391075
02_M_nonNative,014_and he licked on him.wav,and he licked on him.wav,0.441873
02_M_nonNative,014_and he's looking for the frog .wav,and he's looking for the frog .wav,0.720545
02_M_nonNative,015_the frog is something out .wav,the frog is something out .wav,0.483940
02_M_nonNative,019_and he has fallen off of the window .wav,and he has fallen off of the window .wav,0.601058
02_M_nonNative,023_and the dog woke up .wav,and the dog woke up .wav,0.349801
02_M_nonNative,025_and he the frog was gone.wav,and he the frog was gone.wav,0.520129
02_M_nonNative,028_a frog a dog and a girl .wav,a frog a dog and a girl .wav,0.502720
02_M_nonNative,028_the girl because shout frog and the dog woof .wav,the girl because shout frog and the dog woof .wav,0.654199
02_M_nonNative,031_and and the girl looked at him .wav,and and the girl looked at him .wav,0.475949
02_M_nonNative,059_and and and he's looking at the window around him too.wav,and and and he's looking at the window around him too.wav,0.545895
02_M_nonNative,064_and he has fallen the glass.wav,and he has fallen the glass.wav,0.388374
02_M_nonNative,066_and the girl is sleeping and the dog .wav,and the girl is sleeping and the dog .wav,0.448092
02_M_nonNative,069_and because he cracked his egg.wav,and because he cracked his egg.wav,0.453509
02_M_nonNative,074_and they are looking at the frog .wav,and they are looking at the frog .wav,0.471090
02_M_nonNative,078_and the dog is looking for the frog.wav,and the dog is looking for the frog.wav,0.425245
02_M_nonNative,091_and the morning.wav,and the morning.wav,0.385148
02_M_nonNative,099_and he's mad.wav,and he's mad.wav,0.405472
03_F_native,006_the dog and the kid is looking at the the the frog.wav,the dog and the kid is looking at the the the frog.wav,0.530043
03_F_native,008_a frog is in the I don't know what the frog is in .wav,a frog is in the I don't know what the frog is in .wav,0.460885
03_F_native,008_uuuhhh the dog hm jumps out of the window .wav,uuuhhh the dog hm jumps out of the window .wav,0.616889
03_F_native,030_the frog is tip toeing out of the jar .wav,the frog is tip toeing out of the jar .wav,0.487847
03_F_native,031_when they see the frog out the jar .wav,when they see the frog out the jar .wav,0.512513
03_F_native,059_they look in the boot .wav,they look in the boot .wav,0.595401
03_F_native,067_they look outside .wav,they look outside .wav,0.637346
03_F_native,089_the dog is look smelling .wav,the dog is look smelling .wav,0.631526
03_F_native,094_and then the boy is mad.wav,and then the boy is mad.wav,0.644425
04_M_nonNative,001_the bottle and it was in there .wav,the bottle and it was in there .wav,0.549354
04_M_nonNative,004_he he wake up.wav,he he wake up.wav,0.477367
04_M_nonNative,007_the dog shake the dog smell the pet .wav,the dog shake the dog smell the pet .wav,0.554563
04_M_nonNative,019_and the and the frog is happy .wav,and the and the frog is happy .wav,0.682859
04_M_nonNative,023_and was going to get out .wav,and was going to get out .wav,0.505801
04_M_nonNative,029_a frog and there is no frog in the bottle now.wav,a frog and there is no frog in the bottle now.wav,0.671874
04_M_nonNative,042_the kid went to sleep and the dog went to sleep.wav,the kid went to sleep and the dog went to sleep.wav,0.538653
04_M_nonNative,046_a frog and a dog and a kid.wav,a frog and a dog and a kid.wav,0.621356
04_M_nonNative,050_and there wasn't the dog .wav,and there wasn't the dog .wav,0.543915
04_M_nonNative,059_and the kid wake up when the dog wake up .wav,and the kid wake up when the dog wake up .wav,0.675585
04_M_nonNative,065_and they spit out up a water .wav,and they spit out up a water .wav,0.733060
04_M_nonNative,067_and the frog got looking at them .wav,and the frog got looking at them .wav,0.497082
04_M_nonNative,067_it's about frogs .wav,it's about frogs .wav,0.458306
04_M_nonNative,078_and and he skipped out the the the bottle  .wav,and and he skipped out the the the bottle  .wav,0.641079
04_M_nonNative,079_and and the frog didn't went to sleep .wav,and and the frog didn't went to sleep .wav,0.604370
